F,Vm,Vlc,Dialexctric?,Distance between plates,Resonanc Point?,
172.32,3.73,2.94,Yes,,TRUE(171.76 might be real one),
169.02,4.502,4.43,,,,
166.14,4.8,7.013,,,,
163.08,4.8,9.77,,,,
160.06,4.39,10.95,,,,
157.02,3.55,11.58,,,,
171.76,3.78,3.03,,,TRUE,
175.08,3.212,3.277,,,,
178.1,2.728,3.976,,,,
181,2.376,4.544,,,,
184.02,2.024,5.068,,,,
187.04,1.696,5.417,,,,
,,,,,,
SET 2,,,,,,
120.46,4.092,5.33,YES,,TRUE,2 Inductors
117.4,4.4,8.301,,,,
114.32,3.608,10.83,,,,
111.4,2.728,11.53,,,,
108.48,2.156,11.53,,,,
105.4,1.678,11.53,,,,
123.5,3.168,5.679,,,,
126.4,2.42,6.641,,,,
129.46,1.836,7.427,,,,
132.5,1.486,7.864,,,,
135.42,1.241,8.126,,,,
,,,,,,
SET 3,3 Inductors,,,,,
98.01,3.74,6.553,,,TRUE,
96.468,3.96,7.864,,,,
94.93,3.696,9.786,,,,
93.4,3.08,10.83,,,,
91.99,2.596,11.36,,,,
90.45,2.156,11.53,,,,
99.54,3.212,6.553,,,,
101.08,2.772,6.99,,,,
102.48,2.376,7.602,,,,
104,2.024,8.039,,,,
105.54,1.696,8.388,,,,
,,,,,,
SET1,No Dialectric,Distance: 2mm of Air,5mm for dialectric,,,
171.62,4.4,2.141,,,TRUE,
168.6,5.28,4.281,,,,
165.58,5.983,7.864,,,,
162.54,5.719,11.36,,,,
159.5,4.708,12.58,,,,
156.46,3.74,12.58,,,,
174.5,3.564,2.709,,,,
177.68,2.948,3.67,,,,
180.56,2.508,4.413,,,,
183.58,2.112,5.068,,,,
186.62,1.766,5.505,,,,
,,,,,,
SET2,No Dialectric,Distance: 2mm,,,,
120.46,4.839,4.019,,TRUE,,
117.52,5.543,8.563,,,,
114.6,4.224,11.71,,,,
111.54,2.904,12.08,,,,
108.48,2.156,11.88,,,,
105.54,1.696,11.71,,,,
123.48,3.608,5.068,,,,
126.54,2.64,6.466,,,,
129.6,2.024,7.34,,,,
132.5,1.573,7.864,,,,
135.54,1.276,8.126,,,,
,,,,,,
SET3,No Dialectric,Distance: 2mm,,,,
97.868,4.62,5.417,,TRUE,,
96.324,5.015,7.602,,,,
94.7964,4.4,10.49,,,,
93.258,3.432,11.53,,,,
91.714,2.684,11.88,,,,
90.172,2.2,11.88,,,,
99.26,3.872,5.592,,,,
100.66,3.212,6.553,,,150Ohm resistor,
102.18,2.64,7.427,,,2.2mHenry inductor,
103.72,2.2,7.951,,,,
105.26,1.783,8.388,,,,
,,,,,,
SET 4,No Dialectric,4 Inductors,,,,
84.422,4.444,6.117,,TRUE,,
83.434,4.62,7.602,,,,
82.4,4.268,9.612,,,,
81.472,3.564,11.01,,,,
80.35,2.816,11.53,,,,
79.364,2.376,11.71,,,,
85.398,3.872,6.204,,,,
86.378,3.388,6.903,,,,
87.354,2.816,7.689,,,,
88.478,2.376,8.301,,,,
89.468,2.068,8.738,,,,
,,,,,,
SET 5,No Dialectric,5 Inductors,,,,
75.14,4.136,6.728,,TRUE,,
74.15,4.224,8.388,,,,
73.17,3.608,10.31,,,,
72.184,2.86,11.36,,,,
71.058,2.244,11.71,,,,
70.07,1.801,11.71,,,,
76.12,3.652,6.815,,,,
77.11,3.036,7.689,,,,
78.094,2.552,8.388,,,,
79.078,2.156,8.912,,,,
80.062,1.748,9.262,,,,
,,,,,,
SET 5,Dialectric,,,,,
75.842,3.3,7.689,,TRUE,,
74.85,3.344,8.738,,,,
73.862,3.036,9.786,,,,
72.882,2.596,10.83,,,,
71.76,2.156,11.18,,,,
70.774,1.766,11.36,,,,
76.83,2.992,7.602,,,,
77.81,2.596,8.039,,,,
78.794,2.244,8.563,,,,
79.778,1.888,9,,,,
80.764,1.626,9.262,,,,
,,,,,,
SET 4,Dialectric,,,,,
84.976,3.52,7.165,,TRUE,,
83.988,3.652,8.039,,,,
83.01,3.476,9.262,,,,
82.03,3.124,10.38,,,,
81.05,2.684,11.01,,,,
80.062,2.332,11.18,,,,
85.954,3.212,7.077,,,,
86.934,2.86,7.427,,,,
87.91,2.464,7.951,,,,
88.9,2.2,8.388,,,,
90.022,1.818,8.738,,,,
